Airport,Year,Month,Traffic
CASABLANCA,2013,Jun,3455511
MARRAKECH,2013,Jun,1886592
AGADIR,2013,Jun,698320
FES_SAISS,2013,Jun,339903
TANGER,2013,Jun,357207
RABAT_SALE,2013,Jun,191998
CASABLANCA,2013,Dec,7559751
MARRAKECH,2013,Dec,3828518
AGADIR,2013,Dec,1479341
FES_SAISS,2013,Dec,790785
TANGER,2013,Dec,822259
RABAT_SALE,2013,Dec,485713
CASABLANCA,2014,Jun,3807997
MARRAKECH,2014,Jun,2061079
AGADIR,2014,Jun,726347
FES_SAISS,2014,Jun,385915
TANGER,2014,Jun,354887
RABAT_SALE,2014,Jun,324931
CASABLANCA,2014,Dec,7971705
MARRAKECH,2014,Dec,4034410
AGADIR,2014,Dec,1467447
FES_SAISS,2014,Dec,791564
TANGER,2014,Dec,766364
RABAT_SALE,2014,Dec,684213
CASABLANCA,2015,Jun,3745180
MARRAKECH,2015,Jun,2058311
AGADIR,2015,Jun,695868
FES_SAISS,2015,Jun,418591
TANGER,2015,Jun,328957
RABAT_SALE,2015,Jun,327156
CASABLANCA,2015,Dec,8180083
MARRAKECH,2015,Dec,3978725
AGADIR,2015,Dec,1408148
FES_SAISS,2015,Dec,886525
TANGER,2015,Dec,787399
RABAT_SALE,2015,Dec,705950
CASABLANCA,2016,Jun,3832548
MARRAKECH,2016,Jun,1911711
AGADIR,2016,Jun,622361
FES_SAISS,2016,Jun,414590
TANGER,2016,Jun,359719
RABAT_SALE,2016,Jun,409077
CASABLANCA,2016,Dec,8616474
MARRAKECH,2016,Dec,3894227
AGADIR,2016,Dec,1334173
FES_SAISS,2016,Dec,892974
TANGER,2016,Dec,848643
RABAT_SALE,2016,Dec,873169
CASABLANCA,2017,Jun,4255311
MARRAKECH,2017,Jun,2550611
AGADIR,2017,Jun,901347
FES_SAISS,2017,Jun,607330
TANGER,2017,Jun,505222
RABAT_SALE,2017,Jun,454387
CASABLANCA,2017,Dec,9364861
MARRAKECH,2017,Dec,4366263
AGADIR,2017,Dec,1544244
FES_SAISS,2017,Dec,1116095
TANGER,2017,Dec,1074177
